Devanagari,Romanization,Language,Root ,Grammatical Form,Definition
आह,āh,Sanskrit,√ah (आह्),Verb Root (Parasmaipada),"To say, speak, declare; to utter or proclaim."
अहन्य,ahanya,Sanskrit,"a- (अ, “not”) + han (√हन्, “to kill, destroy”)",Adjective,Indestructible; not to be killed or destroyed
अह्नौ,ahnau,Sanskrit,ahán (अहन्),"Noun (neuter, dual case form)","Two days; the dual form of “day” (ahan), referring to a pair of days."
ऐ,ai,Sanskrit,ai,Particle / Interjection,"A particle of addressing; used to call attention, expression of remembrance"
अजौ,ajau,Sanskrit,अज (aja),Nominative/Accusative Dual (noun),The two unborn; the two eternal/uncreated ones
अजिरः,ajiraḥ,Sanskrit,"√अज् (aj, “to move swiftly”)",Masculine noun,"Snake priest; also swift, agile; name of a serpent-priest."
अमुकौ,amukau,Sanskrit,From amuka,Dual nominative/accusative/vocative (masc.),The two certain ones; those two so-and-so’s.
अन्धात्,andhāt,Sanskrit,अन्ध (andha),Ablative singular (masc./neut.),from the blind one; from blindness
अन्दु,andu,Sanskrit,√and,feminine noun,chain; fetter; bond; ankle ornament; elephant foot-chain
अङ्गौ,aṅgau,Sanskrit,अङ्ग (aṅga),Dual masculine (Nom./Voc./Acc.),"two limbs, parts, or departments"
अङ्घो,aṅgho,Sanskrit,—,Interjection / Expletive,"exclamation expressing anger or grief -ah!, alas!, ugh!"
अङ्गून्,aṅgūn,Sanskrit,अङ्गु (aṅgu),Accusative Plural (Masculine),the hands; the limbs; the birds
अनिन,anina,Sanskrit,अन- (an-) + इन- (ina),adjective (m/f/n),"without a master or lord; feeble, weak"
अन्तिकौ,antikau,Sanskrit,antika (अन्तिक),Nominative / Accusative Dual of Masculine Noun,The two nearnesses; the two proximities; the two who are near/close.
अनुकैः,anukaiḥ,Sanskrit,अनुक (anuka),Instrumental plural (m./f./n. adjective used substantively),"By, with, or through the desirous ones, greedy ones, lustful ones"
अन्यन्,anyan,Sanskrit,"From अन्य (anya, “other, different, another”)",Adjective / Pronoun (declined form),"Other, another, different, someone else."
अन्यौ,anyau,Sanskrit,अन्य (anya),Dual Nominative / Accusative,Two others; both others
अर्,ar,Sanskrit,√ṛ,Verb Root (dhātu),"To attain, to go, to praise, to acquire"
अरर,arara,Sanskrit,—,Noun / Indeclinable,"A door, a covering, a sheath, the sheath of a bamboo shoot, an awl, a part of a sacrifice, war, fighting; Indeclinable — a vocative particle expressing haste."
अय्,ay,Sanskrit,√i (इ),"verbal root, 1st class (Ātmanepada; occasionally Parasmaipada)",To go; to move; to proceed; to go toward
अय,aya,Sanskrit,√i (to go),adjective / masculine noun,going; moving; course; path; motion; good fortune; luck; die (gaming cube); move (chess); number four
अया,ayā,Sanskrit,pronominal base (idam),indeclinable / instrumental form,thus; in this manner
आय,āya,Sanskrit,"ā-√i (to come, approach)",masculine noun,"arrival; approach; coming into being; origin; source; income; revenue; gain; profit; means/source (e.g. channels of income); eleventh house (jyotiṣa, house of gains; Aquarius when counted from Aries); die; number four; guard of women’s apartments; origination (philosophical)"
आया,āyā,Sanskrit,"ā-√yā (to go, come)",verb (Parasmaipada),to come; arrive; approach; reach; attain; enter into a state
अयर,ayara,Prakrit,अजर (ajara),Adjective / Descriptive,"Ageless, imperishable, undecaying"
अये,aye,Sanskrit,√अय् (from √इ),"verb, present tense (लट्), 1st person singular, Ātmanepada",I go; I proceed; I move
अयिन्,ayin,Sanskrit,—,Adjectival suffix form (only in compounds),"Occurring only in compounds; forming adjectives such as “going beyond,” “following,” etc."
आयिन्,āyin,Sanskrit (Vedic),√āya (आय),Adjective (m/f/n),Coming near; approaching; hastening toward; driving close
आयिन्,āyin,Sanskrit,āya,"Adjective (m./f./n., Vedic)","Coming near, approaching, hastening toward"
अयो,ayo,Sanskrit,अयस् (ayas),"Noun (neuter, stem)","Metal, iron; sometimes “strength” or “weapon” by extension"
अयु,ayu,Sanskrit / Prakrit,"√i / √yu (to live, vital force)",noun (collective / primordial),mankind; human race; the first man; living humanity
बाई,bai,Marathi,बाई (bāī),Noun (Honorific),"A respectful term for mother, lady, or elder woman."
बाई,baii,Prakrit,inherited feminine title (no Sanskrit verbal root),Feminine noun; vocative/emphatic form,"lady, woman, matron; Mother; respectful form of address (“O Mother!”)"
बाईने,bāīne,Marathi,बाई (bāī),Instrumental Singular (Feminine),by the lady; by the mother; by the respected woman
बक,baka,Sanskrit,—,Masculine Noun (a-stem),"crane, heron; hypocrite, cheat, rogue; name of a demon; name/title (Kubera, ṛṣi, etc.)"
बनौ,banau,Sanskrit,बाण (bāṇa),Dual form (nominative / accusative / vocative),Two arrows.
बण्डे,baṇḍe,Sanskrit (Prakrit-influenced),बण्ड (baṇḍa),Locative singular (masc./neut.),In the maimed; in the crippled; in the defective or broken one
बन्धक,bandhaka,Sanskrit,"√बन्ध् (bandh, “to bind, seize”)",Masculine noun,One who binds; a captor; a catcher; a seizer.
बन्धौ,bandhau,Sanskrit,√bandh,Noun – Dual (Nom./Acc.),Two bonds / Two pledges
बन्दी,bandī,Sanskrit,"√bandh (बन्ध्) – to bind, restrain",Noun (Feminine),"Female prisoner, captive woman"
बाणि,bāṇi,Sanskrit,√vaṇ / baṇ (to speak),Feminine noun,"Speech, discourse, the goddess of speech (Vāṇī / Sarasvatī)"
बाणी,bāṇī,Sanskrit,√vaṇ / baṇ (to speak),Feminine noun (variant form),"Speech, utterance, the goddess of speech"
बंका,baṅkā,Marathi,—,Masculine Noun,"chain of sentinels, guard"
बांक,bāṅka,Marathi,—,Masculine Noun,"bend, curvature; winding road; strife, discord; dagger; bench, form"
बांका,bāṅkā,Marathi,—,Adjective,"daring, bold, reckless, formidable"
बया,bayā,Marathi,—,Noun (feminine),A respectful term for a mother or elderly woman; also the weaver bird (Ploceus Philippensis).
बायाः,bāyāḥ,Sanskrit (Poetic/Archaic),"From बाया (bāyā, “mother, woman”)",Feminine noun — Nominative Plural,Mothers; women; a collective of maternal figures; ancestral or clan-mothers.
बायांनी,bāyānī,Marathi,"बाया (bāyā, “mother, woman”)","Noun (Feminine, Instrumental Plural)",By the mothers; by the women
बयन्ना,bayannā,Marathi,बाई (bāī),Dative / Accusative plural,to the women; to the mothers
बायांना,bāyānnā,Marathi,बाया (bāyā),Noun (Accusative/Dative Plural),"To/for the women, to/for the mothers"
भण्,bhaṇ,Sanskrit,"√bhāṇ (“to speak, say, call by name”)",Verb root (dhātu),"To speak; to utter; to call by name; to recite, to describe"
भाण्डक,bhāṇḍaka,Sanskrit,"भाण्ड (bhāṇḍa, “utensil, goods”)","Masculine noun (utensil), Neuter noun (goods)","A small vessel, cup, or utensil; merchandise, wares"
भाण्डिका,bhāṇḍikā,sanskrit,भाण्ड (bhāṇḍa),feminine noun,"a small vessel or implement; figuratively, an agent or servant; sometimes used for a scavenger bird by extension"
भाण्डिकम्,bhāṇḍikam,Sanskrit,"from bhāṇḍa (“vessel, tool”)",Accusative Singular (neuter),"the tool; the implement; figuratively, a vessel or agent; possibly a scavenger bird (like a crow) by extension."
भाण्डिकी,bhāṇḍikī,Sanskrit,bhāṇḍa (भाण्ड) ,Feminine noun (ī-stem),"A small vessel or implement; by extension a minor servant, helper, agent, or small scavenger bird."
भान्तौ,bhāntau,Sanskrit,√भाम् (bhām),Masculine Dual — Nom./Acc.,two “bhānta”; two thunderbolt-shaped or moon-like forms
भान्ते,bhānte,Sanskrit,√भा (bhā),"masculine noun, locative singular (-a stem)",in the shining one; in the radiant form; in the thunderbolt-shaped form (vajrarūpa); in the moon-form (candra)
भानु,bhānu,Sanskrit,√bhā (भा),Noun (Masculine),"Light; ray of light; the Sun, the shining one."
भानून्,bhānūn,Sanskrit,भानु (bhānu),Accusative Plural (Masculine),"the suns; lights; rays of light; masters; sovereigns, princes; beauties; days; bearers of the epithet Bhānu (Śiva)"
भौ,bhau,Sanskrit,"From √भा (bhā – to shine, to appear)",Noun (dual),Two shining ones; two luminaries; two stars (sometimes interpreted as Sun and Moon)
भाऊ,bhāū / bhau,Marathi,"From Sanskrit bhrātṛ (भ्रातृ, “brother”)",Noun (masculine),Brother; used both for elder and younger brothers. Also used as a respectful or affectionate address for a man.
भेंडी,bhēṇḍī,Marathi,—,feminine noun,"A disorder of the horse: an excrescence or swelling at the knee, producing suppuration and extending from the knee to the pastern."
भेंडी,bhēṇḍī,Marathi,—,feminine noun,"A tree of several species, including Hibiscus populneus and Thespesia populnea."
भेने,bhene,Sanskrit,भेन (bhena),Locative singular (masculine),in/on the sun; in the regent of an asterism
भेरी,bherī,Sanskrit,—,Noun (feminine ī-stem),"A large kettle drum or war drum, used in battle, festivals, and public announcements."
भिंडी,bhiṇḍī,Marathi,—,Noun (Feminine),A sling (corded weapon)
भिन्न,bhinn,Prakrit,√भिद् (bhid),"Past Participle (PPP), vowel-dropped form","split, broken, divided; separated; scattered, seduced, bribed"
भिन्न,bhinna,Prakrit (← Sanskrit),√bhid,past participle / adjective,"split, broken, divided, separated, distinct, different"
भो,bho,sanskrit,भोस् (bhos),particle / interjection,"a vocative particle of address; used to call or attract attention (e.g., “O!”, “Hey!”)"
भोग्य,bhogya,Sanskrit,"√भुज् (bhuj) — “to enjoy, partake of”",Adjective / noun (mfn); feminine भोग्या (bhogyā),"To be enjoyed or turned to one’s account; to be suffered or endured; profitable; an object of enjoyment, wealth, property, grain, or whore."
भोग्या,bhogyā,Sanskrit,"√भुज् (bhuj, “to enjoy, use”)",Feminine noun,"A harlot, courtesan; one who is enjoyed."
भोग्यौ,bhogyau,Sanskrit,"√bhuj (to enjoy, partake of)",Vocative dual / Accusative dual / Nominative dual,Two whores; literally “two to be enjoyed”
भोई,bhoi,Marathi,—,Noun,palanquin bearer; litter-carrier; professional carrier
भोको,bhoko,Sanskrit,√bhok (भो),Noun (Dual),"Hollowness, emptiness, a hole (dual form: two hollows/holes)"
भूण,bhrūṇa,Prakrit,From √bhū (“to be”),Noun (masculine a-stem),A being; creature; existent
भूकौ,bhūkau,Sanskrit,भूक (bhūka),Nominative / Accusative / Vocative dual (masculine),"Two cavities, two holes, two chasms; two springs; two times; two darknesses"
भुङ्,bhuṅ,Sanskrit (Vedic),— (ritual syllable),Indeclinable / chant syllable,"A ritual vocal sound inserted in specific Sāman chants for intonation or invocation; non-lexical, no standalone semantic meaning."
भुनुना,bhununā,Sanskrit,√भू (bhū),"Gerund (absolutive, -tvā / -nā suffix type)",having become; having been; after becoming
भूयः,bhūyaḥ / bhuyo,Sanskrit,√bhū (भू),Adverb,"More, again, further, once more; used to indicate repetition, intensification, or continuation"
भूयोऱौ,bhuyorau,Sanskrit,√bhū (भू),Adverb / Indeclinable,"More, again and again; repeatedly; furthermore. (dual nuance)"
बिन,bina,Marathi (← Skt.),विना (vinā),preposition / prefix,without; lacking; absent
बिन,bina,Marathi,—,nominal marker (genealogical),"son of (used in notes, lineage records)"
बिना,binā,Hindi / Urdu (loan),विना (vinā),preposition,without
बिन्दु,bindu,Sanskrit,"√bind (to drop, fall)",Noun (Masculine),"Drop, particle; dot, point, spot; zero; nasal dot (anusvāra); mark on the forehead between the eyebrows; subtle essence or seed; secondary incident in drama"
बू,bu,Marathi,—,Noun / Interjection,A word used to frighten children; hollow or vain display; pretence; bragging; used to intimidate or deter in the sense of scaring.
बुक्कउ,bukkau,sanskrit,बुक्क (bukka),masculine noun (dual),hearts; bosoms; blood; goats
बुन्द,bunda,Marathi,बिन्दु (bindu),Masculine / Neuter Noun,"drop, particle, small point; bottom, base, lower part; coffee-berry; excellent, superb, intensified quality"
बूंद,būnda,Marathi,बिन्दु (bindu),Masculine Noun,"drop, particle; coffee-berry"
बुन्दौ,bundau,Sanskrit,"√bund (बुन्द् “to discern, pierce”)",Masculine Noun (Dual),Two arrows; pair of arrows
बुङ्ग्,buṅg,Sanskrit,बुङ्ग् (vuṅg),"Verb Root (Class 1, Parasmaipada)","to forsake, abandon"
बुंत,bunta,Marathi,—,noun (f./m.),A cloak or scarf
बुराउ,Burau,Sanskrit,बुर (bura),Dual,Powdered sugar; sweet — poetically “doubly sweet” or “extra sweet”
च,ca,Sanskrit,—,adjective / noun,seedless; bad; vile; base; thief; tortoise; moon; one who eats/chews
कररे,carare,Sanskrit,carara,Locative singular,in the world; in the sky; in heaven; in the atmosphere
चौ,cau,Sanskrit (Prakritized),√ca (च),Noun (Dual / Desi),"Seedless, vile, defective; also: thief, morally corrupt or barren individual; dual form implies a pair of such people"
चोई,coi,Marathi,(Possibly from Sanskrit koṇa or śoci),Noun,"Edge, corner, tip (archaic/dialectal)"
कोइ,coi,Marathi,—,Noun,"Edge, corner, or tip."
चुण्,cun,Sanskrit,चुण् (cun),Verbal root,"To cut off, pierce, close, shrink, contract"
चूण्,cūṇ,Sanskrit,√cūṇ,Verb root (Class 1: cūṇayati),"To contract; to close; to shrink, to divide"
दा,da,Sanskrit,√dā	,Verb root (Class 3 P)	,"Gift, donation, giving, granting, producing"
ददत्,dadat,Sanskrit,√दा (dā),Present active participle (śatṛ),giving; one who gives; while giving
दह्,dah,Sanskrit,दह् (dah),Verb root,"To burn, to consume,
to torment, distress, pain"
दलौ,dalau,Sanskrit,दल (dala),Nominative / Accusative dual,two detachments of troops; two divisions or battalions
दातौ,dātau,Sanskrit,"√दा (dā, “to cut”)","adjective, masculine dual nominative/accusative (kta participle)",the two that are cut; the two that are divided
दत्त,datta,Sanskrit / Marathi,√dā (दा),Past Passive Participle,"Given, bestowed, assigned, handed over; appointed or designated (without implying completeness or irrevocability)."
दौ,dau,Sanskrit,दह (dah),Nominative / Accusative / Vocative Dual,"the two givers; or the two burners, depending on whether derived from √दा (to give) or √दह् (to burn)"
देह,deha,Prakrit,—,Noun,"Form, shape, bulk (as of a cloud)"
देहिन्,dehin,Sanskrit,√dih / देह्,Adjective/Noun,"Corporeal body, incarnate, embodied"
देखि,dekhi,Sanskrit (via Prakrit),√dṛś (दृश्),Absolutive / Noun-like participle,"Having seen, after seeing; a Prakrit or poetic form derived from Sanskrit dṛṣṭvā (दृष्ट्वा)"
देणे,deṇe,Prakrit,"From Sanskrit √दा (dā, to give)","Verb – Present tense, 3rd person singular",He/She/It gives.
डेरा,dera,Marathi,–,Noun,"Encampment, camp, tent; a temporary dwelling place"
देश,deśa,Sanskrit,दिश् (diś),Masculine noun,"Region, land, country, locality"
देशिन्,deśin,Sanskrit,√diś (दिश्),Noun – Agentive (-in),"Guide, instructor, one who shows/directs, pointing out, showing"
देऊन,deūn,Marathi,√dā (दा),Absolutive / Conjunctive Participle,Having given
देय,dey,Sanskrit,√dā (दा),Gerundive / Future Passive Participle,to be given / should be given
धा,dhā,Sanskrit,√dhā (धा),Verb Root,"To put, place, hold, bear, support, produce; to assume, to wear; to bestow."
धन्,dhan,Sanskrit,√dhan,"Verb Root (Class 1 P / 3 P, Vedic)","1) To sound, to thunder, to resound. 2) (Ved.) To bear fruit, to produce (grain, etc.). 3) (Ved.) To set in motion, impel, make run; also “to spring forth, flow.”"
धन,dhan,Sanskrit,√dhan (धन्),Verb root / Noun,"To sound, resound; to bear fruit, to produce, to yield"
धण्,dhaṇ,Sanskrit,√dhaṇ,Verb Root (Class 1 P),"To sound, to make a noise, to resound (cf. dhvan)."
धनुकौ,dhanukau,Sanskrit,धानु (dhanu – “bow”) + -ka,"Masculine noun, dual (nominative/accusative/vocative)",Two archers; two who possess bows
धारुण,dhāruṇ,Sanskrit / Marathi,"√dhṛ (धृ, to hold, support) + -uṇa",Adjective (masculine singular),Harsh; severe; cruel; dreadful; formidable.
धारुणे,dhāruṇe,Sanskrit / Marathi,"√dhṛ (धृ, to hold, support) + -uṇa",Adjective (neuter plural nominative/accusative or vocative singular in Sanskrit; plural/neuter agreement in Marathi),Harsh; severe; cruel; dreadful; formidable (used with neuter plural nouns or as a vocative).
धात,dhāta,Marathi,dhātu,Feminine noun,semen; generative essence
धौ,dhau,Sanskrit,ढ (ḍha),Noun (dual),"Two serpents; also an imitative sound, a large drum, a dog’s tail, or a dog."
ढौ,ḍhau,Sanskrit,— (from ḍha),"Noun (Masculine, Dual)",Two serpents; two dogs; two dog’s tails; two large drums; two imitative sounds
धौकौ,dhaukau,Sanskrit,√dhauk (धौक्),"Noun (Dual, Nom./Acc./Voc.)","Two shakes, two blows, two pushes, or two leaps."
ढौकौ,ḍhaukau,Sanskrit,"√ḍhauk (ढौक्, “to go, move”)","Noun/Adjective (Dual, Nom./Acc./Voc.)","Two moving ones, two goers."
धय,dhaya,Prakrit,ध्वज (dhvaja),Noun,"Banner, flag, ensign; by extension, mark, emblem; also used metaphorically for “eminent one, ornament of a family/lineage.”"
धेडे,dhede,Marathi,धेडा (dhēḍā),"Plural noun
(masculine)","Ritual companion children; symbolic boys appointed to accompany the groom at weddings. Also used metaphorically to represent assistants, doubles, or junior participants in sacred or public rites."
धेडे,dhēḍe,Marathi,धेडा (dhēḍā),Direct (Nominative / Accusative) Plural (Masculine ā-stem noun),Ceremonial children appointed to accompany the bridegroom at marriages; pageboys (male) / flower girls (female)
धेज्ज,dhejja,Prakrit,"धेय (dheya, Sanskrit)",Noun,"To be held or taken; to be produced; to be nourished; to be applied or practiced; an object, aim, or goal"
धेन्ये,dhenye,Sanskrit / Prakrit,धेनु (dhenu / dhēnū),Dual (nom./acc./voc.),Two rivers
धो,dho,Sanskrit,√धू (dhū),Verb form (Present or Imperative),Shake; agitate; move; blow
धोडौ,dhoḍau,Sanskrit,√dhū + ḍa,nominative / accusative / vocative dual,the two water-snakes
धू,dhu,Sanskrit,√धू (dhū),Verb Root,"To shake, agitate, stir up; to shake off; to blow (as wind or breath); to scatter; to cause to move."
धूकौ,dhūkau,Sanskrit,धूक (dhūka),"Noun (Dual, Nom.)","Two winds, two rogues, or two times."
धुन्,dhun,Sanskrit,धुन्,√verb root (1P/10A),"to shake, agitate, move, toss; to drive away or dispel (as doubts or impurities); to vibrate or resonate; also figuratively, to purify by agitation"
धुण,dhuna,Prakrit,√dhun (धुन्),Verb Root / Past Participle,"Shaken, agitated; afflicted by thirst or heat."
धुण,dhuṇa,Prakrit,√dhū (धू),Noun (masculine)/ imperative 2nd sg.,"Shaking, trembling, agitation; disturbance or motion caused by shaking; by extension, unrest or inner stirring, to remove, throw off, resist, oppose"
धुनौ,dhunau,Sanskrit,√dhun (धुन्),"Verb – 3rd person dual, present tense","The two shake, agitate, disturb to drive it away"
धुर्,dhur,Sanskrit,√dhur / √dhṛ (धुर्/धृ),Noun (feminine),"The yoke-end, pole-end, or central piece to which the yoke is attached; also the load or burden carried. Figuratively: a chief role, responsibility, or obligation."
ध्यान,dhyāna,Sanskrit / Marathi,√ध्यै (dhyai),Neuter noun,"Meditation, contemplation, reflection, mind, apprehension, understanding, attention, heed, regard, memory, remembrance, awareness, presence of senses, liking, approval, inclination, form, figure, appearance, iconographic representation of a deity, poetic description of a deity’s form, crazy person (colloquial), mischievous child (colloquial)"
ध्यानिन्,dhyāyin,Sanskrit,dhyai (√ध्यै),Present Participle / Adjective,One who meditates; absorbed in meditation
दि,di,Sanskrit (Vedic),—,Dual ending (morphological),Dual grammatical marker used in certain Vedic noun forms
दी,dī,Sanskrit,√दी,Verb Root,To decay; to waste away; to perish
दिढी,diḍhī,Marathi,dīḍha,Noun (fem.),a quantity counted as one and a half
दीदि,dīdi,Sanskrit,√dī,Verb base / Adjective,"Shine, gleam, be bright; bright, shining; to bestow by shining"
डिकी,ḍikī,Sanskrit,"— (onomatopoetic, from ḍik/ḍikā “small winged insect”)",Feminine noun,A very small gnat or tiny winged insect
दिन,dina,Sanskrit,"√div (to shine, be bright)",Masculine noun,A day; the period of one rotation of the earth (24 hours); also denotes daytime or the span of sunlight
दीण,dīṇa,Prakrit,From Sanskrit दीन (dīna),Adjective,Humble; wretched; lowly; pitiable.
दोच्चो,docco,Prakrit,docca (from Skt. Dvitīya / Dautya),Masculine Nominative Singular,"The second one; envoy, messenger"
दोणो,dono,Prakrit,doṇa (Sanskrit),Noun – Singular (Nominative),"Vessel, container, or clumsy one"
दोनॊ,dono,Prakrit,"from daṇa (noun, “horse”; cf. Sanskrit aśva)",Dual Genitive / Nominative,of the two horses; the two horses
दृ,dṛ,Sanskrit,√दृ (dṛ),Root (verb),to respect; to honour; to hurt; to fear
दॄ,dṝ,Sanskrit,√दॄ (dṝ),Root (verb),to divide; to split; to tear; to fear
दूजा,duja,Marathi (Sanskrit-derived),द्वितीय (dvitīya),Adjective,second; another; different; a counterpart or one of a pair
दूनौ,dūnau,Sanskrit,√dun (दुन्),Verb Root (Parasmaipada) – dual form,"Pained, afflicted, fatigued; to cause pain or distress."
दूतौ,dūtau,Sanskrit,√dū (दू),"Noun (Masculine, Dual — Nom./Acc./Voc.)",Two messengers; a pair of emissaries.
द्विक,dvika,Sanskrit,dvi (“two”) + ka (“-ka” affix),Adjective / Masculine noun,two-fold; forming a pair; second; occurring the second time; increased by two (two percent); a crow; a chakravāka / ruddy goose
ए,e,Sanskrit,"From ā + √i (“to go, approach”)",Verb / Interjection / Noun,"To come, approach, attain; interjection of remembering, calling, censure, compassion (ha!, ah!, hey!); a name of Viṣṇu; also denotes the number kharva; the 11th vowel of the alphabet."
ए,e,Sanskrit,—,Interjection,"an exclamation of contempt, reproof, or calling attention (“hey!”, “ugh!”, “alas!”)"
एण,eṇa,Prakrit,From Sanskrit eṇa / enena,Noun / Pronoun (instrumental),"Antelope, deer; by him, with him, through it."
एणे,eṇe,Sanskrit,एण (eṇa),Noun – Locative Singular,"“In the antelope” or “upon the antelope”; locative singular of eṇa (antelope, gazelle). Symbolically associated with swiftness, grace, or illusion in Vedic and poetic usage."
एनेने,enene,Prakrit,idam (इदम्),Instrumental Singular (variant),"By him, with him (poetic or phonological variation)"
एनेय,eneya,Sanskrit,"एन (ena) — “antelope, deer”",Adjectival derivative,Deer-like; resembling or pertaining to a deer.
एनी,enī,Sanskrit,"From एता/eta (to go, flow)",Feminine Noun,"A river, flowing stream."
एणि,eṇi,Sanskrit,"From एण (eṇa, “black antelope”)",Feminine Noun,"A hind, doe; female black deer (antelope); sometimes extended to “poisonous insect.”"
एणी,eṇī,Sanskrit,"From एण (eṇa, “black antelope”)",Feminine Noun,"Female black deer; also a compound element (eṇī-jaṅgha = antelope-legged, one of the 32 lakṣaṇas of a mahāpuruṣa)."
एनो,eno,Sanskrit,From enas (एनस्),Noun (used in compounds),"Fault, sin, crime, guilt; often appears in compounds derived from enas."
इष्,es / iṣ,Sanskrit,√इष्,Verb Root (Parasmaipada),"To desire, seek, strive, creep, or hasten toward"
गंगा,gaṅgā,Marathi,√gam (to go),Feminine noun (ā-stem),The Ganges river; sacred river; personified goddess; consecrated water; any sacred stream; symbol of purity or merit
गहम्,geham,Sanskrit,गेह (Geha),Neuter noun,House; dwelling; home
गेय,gey,Marathi / Sanskrit,गै / गा (gai / gā),adjective (indeclinable),sung; meant to be sung; lauded; worthy of praise
घन्,ghan,Sanskrit,√घस् (ghas),Verb root (Parasmaipada),"To eat, consume, devour."
घण,ghaṇ,Sanskrit,√घण् (ghaṇ),Verb root (Parasmaipada),"To shine, glitter, or radiate light."
घाय,ghāy,Prakrit,√घा / √घात्,Verb / root form,"to strike, injure, kill"
घि,ghi,Prakrit,from Sanskrit ग्रीष्म (grīṣma),Adjective / noun,"Summer, hot, warm, oppressive heat, scorching"
घुघु,ghughu,Marathi,Imitative,Feminine Noun,hoot or cry of an owl or pigeon
घुघु,ghughu,Marathi,—,Adjective,"little, small, childish; feeble or undersized, immature"
गिहि,gihi,Prakrit,गृहिन् (gṛhin),Noun,possessing a house; master of a house; householder
अग्नि,gni (from agni),Sanskrit,√अग् (√ag),Noun / verbal root,Fire; kindling; burning; sacrificial flame
गुंग,gunga,Marathi,—,Adjective,Heavy; dull; stupid; senseless.
ह,ha,Sanskrit,—,Indeclinable particle (avyaya),"Emphatic particle meaning “indeed, truly,” often expletive in Vedic usage."
है,hai,Sanskrit,√hve (“to call”),Indeclinable particle (vocative / interjection),"a vocative particle; an interjection used in calling out or vociferating (“hey!”, “ho!”, “O!”)"
हय्,hay,Sanskrit,√hi (हि),1st Class Parasmaipada,"To go, to move, to worship, to sound, to be weary"
हय,haya / hay,Prakrit,Related to Sanskrit hata (हत) and haya (हय),Noun,"Horse, steed; also associated with “struck, destroyed.”"
हे,he,Sanskrit,—,Exclamatory Particle,Envy; ill-will; expression of malice or hostile calling-out; defiance
हेमन्,heman,Sanskrit,√hi (हि) + manin affix,Neuter noun,gold; water; snow; the thorn-apple plant; the Keśara/Nāgakeśara flower; winter; the planet Mercury
हेणे,hēṇe,Marathi,Prakrit heṇa,Verbal root (infinitive),to lean; to tilt; to bend; to droop; to incline
हेर,hera,Sanskrit,"— (possibly from √हृ hṛ, “to take, seize”)",Noun (neuter),"Crown, diadem, or head ornament; also denotes demoniacal illusion or deceptive splendor that captivates the mind—symbol of radiant yet illusory appearance."
हेय,hēya,Marathi,√hā (हा – to abandon),Gerundive adjective (to be + past passive participle sense),"To be left, abandoned, cast away; rejectable; to be avoided."
हेये,heye,Sanskrit,From √हि (heya),"Adjective / Noun, Locative Singular","In/with regard, concerning that which is to be avoided, rejected; vile, contemptible."
हि,hi,Sanskrit,—,Past participial / enclitic / root-derived,"indeed; surely; for; because, Forsaken, abandoned; also used as an enclitic emphasizing cause or certainty, left behind or cast off"
हिड्ड,Hiḍḍa,Sanskrit (Buddhist transmission),— (toponym),Proper noun (place name),"An Asian geographic location preserved in Buddhist Sanskrit sources; attested via Chinese phonetic transliteration 醯羅 (xī luó). Near modern Jalalabad, Afghanistan"
