Devanagari,Romanization,Language,Root ,Grammatical Form,Definition
नह्,nah,Sanskrit,√nah (नह्),Verb Root,"To bind, to fasten, to tie, to harness"
नहन,nahana,Sanskrit,√nah (नह्),Noun (derived from verb root),"Binding, tying, restraint; a bond or act of fastening or covering"
नह्य,nahya,Sanskrit,√nah (नह्),Verb (2nd person),you tie / you bind
नैण,naina,Prakrit,"नयन (nayana, Sanskrit)",Noun,Eye; sight; vision
णी,nainī,Prakrit,"From Sanskrit नयनी (nayanī, “having eyes”)",Noun / Adjective (feminine),Having eyes; eyed; one who possesses sight (often used poetically for a female figure or watcher).
नैय,naiya,Prakrit,Sanskrit √nād / √nad (नाद्),Noun / Verb (Prakritized),"Sound, noise, echo; to reverberate, to make a loud sound"
नक,naka,Sanskrit,from √नङ्क् / nāka (ancient Vedic noun with no productive root),Masculine noun,sky; heaven; the highest heaven; the celestial realm
नकार,nakāra,Marathi,na (“no”) + kāra,masculine noun,denial; refusal; rejection; disallowing; declining; the act of refusing; the marking of a rejected draft or bill
नाकार,nākāra,Marathi,—,masculine noun,refusing through disapproval; rejecting; declining; disallowing
नाकारा,nākārā,Marathi,—,adjective,bad; worthless; useless
नक्की,nakkī,Marathi,nakī (नकी),Adjective / Adverb,"Exact, definite, certain; fixed, settled; surely, indeed, precisely; correct, true"
नना,nanā,Sanskrit (Vedic),nanā,Feminine Noun,1) Speech; 2) Mother; 3) Daughter
नाना,nānā,Sanskrit,nānā,Adverb / Qualifier,"Various, diverse, distinct; used to denote separation, plurality, or difference"
ननु,nanu,Sanskrit,na + nu,indeclinable particle,"particle used for interrogation (“is it not?”), affirmation (“surely,” “indeed”), polite request (“please,” “pray”), mild vocative address (“O”), objection or contrast (“but,” “however”), and assent in dialogue (“yes, indeed”)."
नरे,nare,Sanskrit,नर (nara),Locative singular,"In / on / at the man, horse, or water."
नव,nau,Sanskrit,—,Cardinal Number,"The number nine (9); symbol of completion, finality, or fullness in many Vedic contexts"
नौका,nauka,Sanskrit,नउ (nau),Noun (feminine),"Boat, ship, or vessel; often symbolic of passage, crossing, or conveyance—used in Vedic and poetic texts to signify spiritual crossing, journey, or refuge."
नौका,naukā,Sanskrit,√नु (nu) + kā (suffix)*,Feminine noun,boat; small boat
नौकौ,naukau,Sanskrit,√nū,"Noun (feminine, dual)","Two boats, pair of boats"
नौके,nauke,Sanskrit,"From naukā (नौका, boat, vessel)",Noun – Nominative/Accusative dual (feminine ā-stem) or Vocative singular,The two boats; the two vessels; vocative: “O boat!” (In canon: the two Emissaries).
नौर,naur,Sanskrit / Prakrit,√नु / नौ (nau),Noun (oblique form),"Boat, ship, vessel; by extension, a carrier, vehicle, or means of passage"
नौर्‍णो,naurṇo,Prakrit (Sanskrit influence),नौ (nau),Nominative singular (masculine),The boat; the vessel
नय्,nay,Sanskrit,नय् (√naya),Verb (1st class Ātmanepada),"To go, move; to protect, preserve, defend, to send forth"
नय,naya,Sanskrit,√nī (नी),Noun – Abstract/Substantive,"Leading, guiding, conduct, policy; act of bringing or directing"
नयन,nayana,Sanskrit,√नी (nī — “to lead”),Noun (neuter),"Eye; the organ of sight; also metaphorically “vision,” “seeing,” or “guidance”"
नयनिर्नौके,nayanirnauke,Sanskrit,"नयन (nayana, eye) + निर् (nir-, without) + naukā (नौका, boat, vessel)",Compound noun – Nominative/Accusative dual (feminine ā-stem),The two sightless boats or vessels (in canon: the two sightless Emissaries).
नायिकौ,Nayikau,Sanskrit,नायिका (nāyikā),Feminine noun – Nominative / Vocative Dual,Two heroines; two mistresses
ने,ne,Sanskrit,"√नी (nī, to lead, carry, take)",Verb form (perfect / imperative in some contexts),He/She/It has led; has carried; or (as imperative) “Lead!”
णे,ṇe / nye,Prakrit,नय (naya),Verb / Inflected form,"To lead, guide, direct; to take or carry (context-dependent)"
णेहे,ṇehe,Prakrit,ṇeha (≤ Skt. sneha),Locative Singular (masc. a-stem); also Accusative Plural in some Prakrit paradigms,"In / within affection, attachment, tenderness (loc. sg.); affections, attachments (acc. pl., context-dependent)"
नेक,nēka,Marathi,nek (loan),adjective,virtuous; honest; upright; faithful; morally good (of a person or an action)
नेकया,nekayā,Marathi,नेक (neka),Dative Singular,to the good one; for the virtuous or upright one
नेकाया,nēkāyā,Marathi,नेका (neka),Dative singular (f./m.),To/for the virtuous person; to/for the righteous action
नेके,neke,Marathi,नेक (neka),Plural,virtuous ones; good people; those who are righteous
नेक्की,nekki,Prakrit / Vernacular,nīti (नीति) – conduct,Noun – Feminine,"Uprightness, moral virtue, good conduct"
नेल,nela,Prakrit,an-enas (अन+एनस्),Adjective,"Pure, unstained, without fault — especially used for pure speech or faultless sound."
नेणणे,nēṇaṇē,Marathi,नेण- (negative stem of “to know”),Verb (infinitive),to not know; to be ignorant of; to fail to understand
नेने,nene,Marathi / Prakrit,"√नी (nī, to lead, carry, take)",Verb form (past/habitual/imperfect),Took; carried; led; used to take.
नेणी,nēṇī,Marathi,Prakrit diminutive form (neṇī),Noun,small pot; small container; tiny vessel often used as an oil lamp
नेर,nera,Marathi,नेर (nera),Noun,"Dust, scraps, waste; refuse matter"
णेय,ṇeya,Prakrit,√णइ (Skt. √नी),Gerundive / Passive Participle,"To be led, guided, conducted; one who should be guided or protected."
निचेरून्,nicerūn,Sanskrit,निचेरु (niceru),Accusative plural (u-stem adjective),"Gliding, creeping, slipping; those who move quietly"
नीड,nīḍa,Sanskrit,√nīḍ (नीड्),Noun,"Nest; a resting or dwelling place for birds; by extension, a shelter or habitation."
निघ्नान,nighnāna,Sanskrit,"√han (हन्) — “to strike, kill”",Agentive Participle / Adjective,One who destroys; destroyer.
निः,nih,Sanskrit,निः (from prefix ni),Indeclinable Prefix (upasarga),"Out, forth, away; without, devoid of; down, completely, thoroughly. Used before voiceless consonants and in compounds."
निह्,nih,Sanskrit,"From √han (to strike, kill)",Noun (masculine),"Slayer, killer; one who strikes down. Also “expelled, driven out.” (Vedic usage)."
निः,niḥ,Sanskrit,niḥ (prefix),Indeclinable prefix,"Out of, away from, without; used to express removal, absence, separation, or intensification"
निःनि,nihni,Sanskrit,niḥ (निः) + ni (नि),Compound / Prefix + Root,“To send out/down completely”; “to remove entirely”; can also mean “utterly devoid of” depending on context.
निक,nika,Prakrit,—,Noun / Root,"Desire, longing, yearning; a feeling of wanting or wishing for something."
नीण,nīṇa,Prakrit (with Sanskrit influence),"√nī (to lead, guide, carry)",Past participle / adjectival form,"Led, brought, carried, conducted. Attested in Middle Indo-Aryan inscriptions and texts as a descriptor of something/someone moved or guided from one location to another."
नीनौ,ninau,Sanskrit,"√nī (नी) – to lead, carry, bring",Nominative Dual (Masculine/Neuter),The two led; the two brought; the two guided
निनौ,ninau,Sanskrit,√nin (निन्),Nominative / Accusative / Vocative Dual,"Two who have left, departed, or withdrawn"
णोहो,ṇohāo,Prakrit / Marathi,णोहा (ṇohā) < Skt. snuṣā,Dual (nom./acc./voc.),Two daughters-in-law
नोका,noka,Marathi,"Sanskrit root noka / nakha (point, tip)",Noun (feminine),"point; sting; beauty; moral or central feature; particular excellence or air; innuendo, hint, or slight insinuation"
नृ,nṛ,Sanskrit,— (from PIE h₂ner-),Noun,"Man, person, mankind, leader."
नॄ,nṝ,Sanskrit,√नॄ (nṝ),Verb root (Parasmaipada),"To bring to, to lead."
नु,nu,Sanskrit,√नु (nu),Verb root / Onomatopoeic,"To roar, to praise, to bellow (as thunder, lion, or war cry)"
णूण,nuna,Prakrit,न्यून (nyūna),Singular nominative,The wicked one; the deficient one
नुनौ,nunau,Sanskrit,√nud (नुद्),"Verb – 3rd person dual, perfect tense",The two pushed / expelled
नुनौ,nunau,Sanskrit,"nyūna (न्यून) – deficient, lacking",Adjective – Dual form,The two deficient ones; an imperfect or lacking pair (possibly male and female)
नुणो,nuno,Prakrit,न्यून (nyūna),Adjective (Masc. Nom. Sing.),"Wicked, vile, defective, deficient, morally corrupt, lacking; masculine singular form of nuna, derived from Sanskrit nyūna"
णूणो,nuno,Prakrit,nyūna (न्यून),Plural Nominative,The wicked ones
नयनेन,nyanena (properly nayanena),Sanskrit,नयन (nayana),Instrumental Singular (neuter),By / with / through the eye; by means of sight or vision
न्यारा,nyārā,Marathi,—,Adjective,"Separate, unique, distinct"
न्ये,nye,Sanskrit,"from √nī (to lead, carry, bring)",Verb root (in compounds or causative),"to fall; to be led or carried down; to descend into or toward (a state, place, or condition)"
ओ,o / oh,Sanskrit,—,Interjection / Particle,"A vocative exclamation; used to call attention, express emotion, or invoke someone. Similar to “O!” or “Oh!” in English."
ओइ,oi,Sanskrit (onomatopoetic / phonetic),—,Indeclinable sound / exclamation,"An interjection or exclamatory particle; used vocally to express calling, attention, or emotional emphasis — similar to “O!” or “Hey!” in English."
ओजः,ojo,Sanskrit,ójas,"Noun (masculine/neuter, nominative singular)","Vigour, strength, vital energy, appearance, bodily luster"
ओक,oka,Sanskrit,√उच् (uch) — to dwell,Noun,house; refuge; shelter; bird; a Śūdra
ओक,ōka,Marathi,—,Feminine noun,"Vomit, the matter thrown up"
ओका,ōkā,Marathi,—,Adjective,"Bare, naked, void, lacking usual ornaments or accomplishments"
ओकौ,okau,Sanskrit,ओक (oka),Nominative / Accusative / Vocative Dual (Masculine),two houses; two refuges; two shelters; two dwellings; two birds; two Śūdras
ओण्,oṇ,Sanskrit,√ओण् (Oṇ),"Verb root (Class 1, Parasmaipada)","to remove, take away, drag along, abstract"
ओरा,ōrā,Marathi,—,masculine noun,sudden surge or rush of water; rapid influx or runoff
ओए,oya ,Prakrit,from Sanskrit ओघ (ogha) or ओजस् (ojas) depending on context,Noun / Interjection,"Depending on derivation: (1) Flood, stream, multitude (ogha); (2) Vitality, vigor, energy (ojas)."
ओयर,oyara,Prakrit,avatāra (अवतार) – Sanskrit,Noun,"Descent, incarnation; especially of a deity — “avatar”"
रदः,radaḥ,Sanskrit,√rad (रद्),"Noun – Masculine, Nominative Singular",A tooth; a tusk; a biting tooth-like structure
रदौ,radau,Sanskrit,√रद् (rad) — to bite,Noun (masculine dual),the two tusks; a pair of teeth
राधा,Rādhā,Sanskrit,√radh (रध्),Proper noun / Feminine name,"The one who is successful, accomplished, or brings fulfillment; beloved consort of Krishna"
राधे,Radhe,Māhārāṣṭrī Prakrit (from Sanskrit राधेय),Rādhā + -eya,Vocative singular (masculine epithet),O Radhe!; address for the son of Rādhā (Karna); the -ya suffix dropped in Prakrit speech simplification
राधे,Rādhe,Sanskrit,√rādh (राध्),Vocative (feminine),O Radha! (vocative case)
रह्,rah,Sanskrit,√rah (रह्),Verb Root (Parasmaipada),"To quit, leave, abandon, forsake; to keep away from, avoid."
राजा,rājā,marathi,from sanskrit rājan,masculine noun,king; ruler; monarch
रारड,rarada,Marathi,rāra (रारा),Noun,"Loud wailing, shrieking, tantrum-level crying or lamenting"
रारयोः,rārayoḥ,Sanskrit,रारा (rārā),"Genitive / Locative dual (fem. ā-stem, derived proper noun)","of / in the paired Rārā-domain(s) — a dual locus, jurisdiction, or authority derived from the name Rādhā; not two persons, not an attested alternate personal name"
रौ,rau,Sanskrit,√ra / √rā / √ram (variously derived),"Masculine a-stem, dual",two fires; two heats; two desires; two speeds (dual of ra in all its noun senses)
रयीन्,rayīn,Sanskrit (Vedic),रयि (rayi),accusative plural (m./n. i-stem),"waters; wealths; stores of wealth; materials; substances; resources; embodied provisions or energies as objects taken, bestowed, infused, or acted upon"
रेडा,reḍa,Marathi,"native Marathi root, possibly from Dravidian substrate or expressive origin",Noun,exuberance; excess; glut; superabundance; an overflowing or overfull state
रेडे,reḍe,Marathi,रेडा (reḍa),Noun (plural),Male buffaloes.
रेरे,rere,Marathi,rare (ररे),Feminine noun / Verb (kara),"Crying or piping, especially childishly or meanly; figuratively, to lose heart or draw back from faintheartedness; also to dawdle along in one’s work complainingly; as a verb (kara), to cry out suddenly or sharply. (Molesworth: Marathi–English Dictionary)"
रुदौ,rodau,Sanskrit,"√rud (रुद् — to weep, cry, lament)",Nominative / Accusative / Vocative dual (Agentive noun),Two who wail or lament; two mourners
रोधौ,rodhau,Sanskrit,रोध (rodha),Dual (nom./acc./voc.),Two obstacles; two hindrances
रोदो,rodo,Sanskrit,√rud (रुद्),Noun – Agentive / Masculine,"One who wails or laments; a mourner, lamenter"
रोहन्,rohan,Sanskrit,√ruh (रुह्),Present Participle (Parasmaipada),Rising; growing; ascending; mounting; one who climbs.
रोकौ,rokau,Sanskrit,"From roka (light, hole, boat, movement)","Noun (dual, nominative/accusative)",Two lights; two boats/ships; two holes/chasms; two moving or shaking ones (depending on context).
रुह्,ruh,Sanskrit,√रुह् (ruh),Verb root (Ātmanepada),"To spring up, grow, arise, ascend, or shoot forth."
रुई,rui,Marathi,—,Noun,A large antelope; also used for large deer-like animals or game in regional speech
रुङ्,ruṅ,Sanskrit,√ruj,Root (used in compounds),"to break, injure, pain, hurt"
रुङ्,ruṅ,Sanskrit,√रुज् (ruj),Verbal Root (used in compounds),"to break, injure, damage, cause pain"
रुण्दन्,rundan,Sanskrit,√rud,Present participle (masculine nominative singular),"Weeping, crying, lamenting"
शक,saka,Sanskrit,शक् (śak),Verb root,to be able; to be capable; to have power
संघौ,samghau,Sanskrit / Prakrit,√saṁgh (saṁgha),Noun – Dual (Nom./Acc.),Two assemblies / two congregations
संघौ,saṃghau,Sanskrit,"संघ (saṃgha) — “assembly, group, host, union”",Dual form (nominative/accusative/locative),"Two groups, two assemblies, or two hosts."
संघौ,saṃghau,Sanskrit,√saṃgh,"Noun, nominative/accusative/vocative dual","Two assemblies, two gatherings, two unions, or two groups"
सङ्घे,saṁghe,Sanskrit,सङ्घ (saṁgha),Locative Singular (noun),In the assembly / within the group
शन्,śan,Sanskrit,√śan,Verb root (Class 1/8 hybrid attested),to love; to like; to worship; to honor; to acquire; to obtain; to receive graciously; to give; to bestow; to distribute
शन्,śana,Sanskrit,√śan,"Verb — 2nd person singular, imperative (loṭ), parasmaipada",gain! acquire! receive! accept! bestow! honor!
शण्डी,ṣaṇḍī,Sanskrit,√ṣaṇḍ (शण्ड),feminine noun,female eunuch; third-sex individual
शरदा,śaradā,Sanskrit,śarad,feminine noun,autumn; a year
शारद,śārada,Sanskrit,śarad,adjective,"autumnal; annual; new, recent; young, fresh; modest, shy; diffident; able, clever"
शारदः,śāradaḥ,Sanskrit,śarad,masculine noun,a year; an autumnal sickness; autumnal sunshine; a kind of kidney bean; the Bakula tree
शर्मक,Śarmaka,Sanskrit,शर्म (śarma),"Noun (masculine plural, ethnonym)","Name of a people or tribe mentioned in the Mahābhārata. Derived from śarma meaning “peace” or “protection,” the term denotes “the Śarmaka people.”"
शय,śaya,Sanskrit,"From √शी (śī, “to lie down, rest”)",Noun,"1) Sleep, lying down, bed, couch; 2) A snake (esp. boa constrictor, per lexicographers); 3) Hand; 4) Abuse, curse; 5) A stake."
शे,śe,Sanskrit,√śī (शी),"Present tense, 1st person singular, Ātmanepada","I lie, I rest, I recline"
सेके,seke,Sanskrit,√sic (सिच्),Locative Singular of Masculine Noun,"“In the sprinkling,” “upon the pouring,” “in the libation.”"
सेकी,sekī,Sanskrit,√sich (सिच्),Feminine agent noun,She who sprinkles; libator
शेम,śem,Prakrit,"From Sanskrit शत (śata, “hundred”)",Numeral,One hundred (100).
सेमा,sēmā,Marathi,Prakrit sema / seyam,Noun,prosperity; safety; welfare; well-being
सेण,sen,Prakrit,śyena (श्येन),Noun (masculine),"Hawk, falcon, raptor"
सेण,seṇa,Prakrit,"from Sanskrit sena (√sī “to bind, hold together”)",Noun,"Army, troop, band; also figuratively a company, following"
शेन,śēna,Marathi,śyena,Noun (masc.),"hawk, falcon"
शेष,śēṣa,Sanskrit,√śiṣ (to remain),masculine noun,"Śeṣa; the king of the serpent-race, depicted as a vast thousand-headed serpent who serves as both couch and canopy of Viṣṇu, and as the upholder of the world, which rests upon one of his heads"
शेषानाम्,śeṣānām,Sanskrit,शेष (Śeṣa),Genitive Plural (masculine),of the Serpents Śeṣa (of the Śeṣas)
शेषे,śeṣe,Sanskrit,śiṣ (to remain),Locative singular (masculine a-stem),in Śeṣa; upon the thousand-headed cosmic serpent; within Śeṣa
शेषेण,śeṣeṇa,Sanskrit,शेष (Śeṣa),Instrumental Singular (masculine),"By, with, or by means of the Serpent Śeṣa (Ananta Śeṣa, the cosmic serpent)"
शेष्यम्,śeṣyam,Sanskrit,शेष (śeṣa),Neuter accusative singular (gerundive derivative),That which is to be left; remaining; remainder
शिङ्गे,śiṅge,Sanskrit,śiṅga,locative singular (masculine a-stem noun),"in the tree; in the youth (kiśora); in Śiṅga (personal name), context-dependent"
शिङ्घ्,śiṅgh,Sanskrit,√शिङ्घ्,Class 1 Parasmaipada verb,to smell; to sniff; (with upa: to kiss)
सुचौ,sucau,Sanskrit,√सूच् (sūc),"Verb (3rd person dual, Ātmanepada)",the two indicate; the two gesture or reveal; the two pierce or see with insight
सुर,sur,Marathi,from Skt. sura (सुर),Noun,"Voice, melody, musical note, or divine harmony; a tone expressing alignment or resonance"
शूर्,śūr,Sanskrit,√śūr,"Verb, 4th class Ā (śūryate)",to hurt; to kill; to be firm
शूर्,śūr,Sanskrit,√śūr,"Verb, 10th class Ā (śūrayati-te)",to be valiant; to act heroically; to exert force
सुरसुर,surasura,Prakrit,sura + asura (Prakrit forms),Compound noun,Suras and Asuras; the divine beings and their opposing beings
श्यामक,syāmaka,Sanskrit,"syāma (dark, dusky)",Masculine noun,A kind of grain; millet (Panicum frumentaceum)
श्येनेन,śyenenā,Sanskrit,श्येन (śyena),Instrumental Singular,"by the hawk; with the falcon; through the eagle — symbolically, by the divine messenger"
तय्,tay,Sanskrit,तय् (√tay),Verb (1st class Ātmanepada),"To guard, protect, preserve; to extend, spread out, expand"
ते,te,Sanskrit,—,"Pronoun (2nd person, instrumental, Vedic/poetic)",with you; by you
टेके,teke,Sanskrit (canon),Teka,Locative singular (masculine a-stem),in Teka; within Teka; upon the Demon Teka
ति,ti,Sanskrit,√ti,"Verb Root (Class 1, Parasmaipada)",To make wet; to moisten; to dampen.
ति,ti,Sanskrit,√ti,"Verb Root (Class 4, Parasmaipada)","To become wet; to become quiet, tranquil, or calm."
टिकी,ṭikī,Marathi,—,Feminine noun,A job; an occupation; a means of livelihood/employment.
तोकौ,tokau,Sanskrit,toka (तोक),Noun (masculine) – nominative dual,Children; sons; young ones; offspring; descendants (esp. in poetic or Vedic use)
टोकौ,ṭokau,Prakrit / Marathi,टोक (ṭoka),Noun (Plural / Diminutive),"Children; little ones; offspring. Also: a sharp remark or interruption, depending on context."
तोतन,toṭān,Prakrit,"तोत (toṭa, “small; little”)",Accusative plural,the small ones; the little ones
टोटौ,totau,Sanskritized (from Prakrit/Marathi),टोट (tota),Dual (nom./acc./voc.),Two small ones; two little ones
तु,tu,Sanskrit,— (indeclinable particle),Indeclinable,"But, however, on the contrary"
तुन्,tun,Sanskrit,√तुन्,"Verb root (8th class, Parasmaipada)",to make crooked; to deceive; to mislead; to distort
तुण्,tuṇ,Sanskrit,√tuṇ (तुण्),Verb Root (Class 6 P),"To curve, bend, make crooked; to act fraudulently; to deceive; to be crooked"
तुङ्गउ,tungau,Prakrit / Sanskritic hybrid,"from Sanskrit tunga (high, elevated, chief, noble) + dual suffix -u",Dual Nominative,the two chiefs; the two exalted ones; the pair of leaders
उज्जयिनी,Ujjayinī,Sanskrit,"√ji (to conquer, overcome)",Proper noun (feminine),"Ancient city in Madhya Pradesh, historically known as the capital of Avanti; name means “the victorious one” or “she who has conquered.”"
उंघइ,uṃghai,Prakrit,From uṃgha ← Skt. nidrā,Verb – Present 3rd person singular,He/She/It sleeps; falls asleep; dozes.
ऊन्,ūn,Sanskrit,√ūn,Verb Root (Class 10 P),"To decrease, deduct, detract; to mete out in small amounts, to measure."
उन,una,Prakrit,"From Sanskrit ऊन (ūna, “deficient, lacking”)",Adjective / Noun,"Deficient, lacking, less; by extension at fault, guilty"
उणौ,unau,Prakrit,√tīkṣṇ (तीक्ष्ण),Adjective – Dual form,The two clever ones; sharp or intelligent individuals
उनौ,unau,Sanskrit,√un (उन्),Adjective – Dual (Masc./Neut.) Nom./Acc.,The two lacking; a deficient pair; two incomplete ones
उञ्छौ,uñchau,Sanskrit,"uñch (to glean, gather)",nominative / accusative / vocative dual (masculine a-stem: उञ्छः),two gleaners; two acts of gleaning; two instances of gathered grain
उन्द्,und,Sanskrit,"√und (to wet, moisten)",Verb Root,"To wet, moisten, sprinkle, drench"
उण्डुक,uṇḍuka,Sanskrit,"√uṇḍ (retroflex, medical/folk root)",Masculine Noun,"1. A species of leprosy; 2. A texture, net; 3. The stomach"
उन्दुकौ,undukau,Sanskrit,"From उन्दुक (unduka, “rat, mouse”)",Masculine Noun (Dual),"Two rats, two mice (vermin)"
उण्डुकौ,uṇḍukau,Sanskrit,"From उण्डुक (uṇḍuka, “leprosy, stomach, net”)",Masculine Noun (Dual),1. Two cases of leprosy; 2. Two stomachs; 3. Two nets/textures
उण्डुकौ,uṇḍukau,Sanskrit,—,"masculine noun, dual (nominative / accusative)", two instances of a species of leprosy; two textures or nets; two stomachs
उर्,ur,Sanskrit,√ur (उर्),Verb Root (Sautra),"To go, to move, to proceed"
उवन्,uvan,Sanskrit,√वन् (van),Agent noun / past participle,"One who has gained, won, or attained"
वाय,vāya,Sanskrit,√ve (वे),Noun (masculine),"Weaving; a weaver; a thread or strap; also, a patronymic for a bird (esp. crow)."
वयिन्,vayin,Sanskrit,"√वि (vyā / vay) — “to weave, to plait”",Adjectival derivative / agent noun,"Weaving, sewing; one who weaves or sews."
वेंटे,vēṇṭe,Marathi,vēṇṭa,plural direct (nominative) noun,"Twists; coils; windings; contortions—especially of grass, rope, or bowels; plural form indicating multiple tight twists or constrictions"
वेरद,verada,Prakrit,From Sanskrit vaira (वैर) “enmity”,Masculine Noun,"1. Earthworm; 2. Hostility, enmity"
विरहिन्,virahin,Sanskrit,"√rah (रह्) – to leave, abandon",Adjective,"Lonely, solitary, separated, deprived of companionship"
विरुदौ,virudau,Sanskrit,vi + √rud (रुद्),"Noun (masculine, nominative/accusative/vocative dual)","Two proclamations, eulogies, or public praises."
या,yā,Marathi,–या (–yā),Suffix (Genitive),A genitive suffix indicating possession; translates as “of” or “belonging to.”
यदर्थ,yadartha,Marathi,Skt. yad + artha,adverb / postposition,for that purpose; regarding that; concerning that
यम्,yam,Sanskrit,√yam,verbal root (1st class),"to govern, rein in, and control by restraint or guidance, as a rider governs horses"
यान,yāna,Sanskrit,√yā,Verbal Noun (lyuṭ),"going, moving, marching; invading, attacking, or retreating before an enemy; vehicle or conveyance"
यानानि,yānāni,Sanskrit (Prakrit: याणाणि yāṇāṇi),"√ya (to go, move)","Neuter Noun, Plural (Nom./Acc.)","Vehicles, carriages, chariots; journeys, movements; military expeditions"
यनौ,yanau,Sanskrit,√yana (यन्),Dual Nominative (Masc./Neut.),The two who march; the two who go forth; the twin voyagers or ones who move against
याने,yāne,Sanskrit,√यम् (yam),Locative singular (neuter a-stem),in the vehicle; within the carriage; in the conveyance
यनुण,yanuna,Prakrit,यनु (from Sanskrit यद्),Conjunctive / Optative Particle,"Suppose, rather, let it be so; conditional alternative"
Devanagari,Romanization,Language,Root,Grammatical Form,Definition
यारद,yārada,Marathi,—,Vocative,O small horse; O puny or sorry breed; O feeble or weak creature
यारदा,yāradā,Marathi,—,Noun (masculine),"small horse; a puny or sorry breed; used of horses, sometimes extended metaphorically. This term is often colloquially applied in Marathi to describe something feeble, weak, or of little worth — especially when referring to animals or sometimes people."
यरडाः,yaradāḥ,Sanskrit,√yarada,"Masculine Noun, Nominative Plural",Small horses (more than two)Low and small; of puny and sorry breed; fit only to carry burdens
यरादी,yāradī,Marathi,—,Noun,Hereditary assistant; hereditary office.
याराः,yārāḥ,Marathi,yara (from Persian),"Noun (masculine, nominative plural)",Friends
ये,ye,Sanskrit,यद् (yad),"Relative pronoun, nominative plural masculine","those who, they who, which ones"
येडा,yedā,Marathi,—,Adjective / Noun,mentally unstable; foolish; insane person
येन,yen,Sanskrit,यद् (yat),Instrumental singular (relative pronoun),"By whom, by which; through whom/which — poetic or archaic form of yena."
येऱ,yera,Marathi,—,Adjective / Pronoun,"Other, another, different."
यिनी,Yinī,Sanskrit (poetic abbreviation),√ji (to conquer),Feminine noun / short form,"Abbreviated form of Ujjayinī, “the victorious one,” referring to the city of Ujjain."
योन,yon,Prakrit,√yu (यु),Noun (contracted form),"Womb, origin, generative source; phonetic variant of yoni"
योनौ,yonau,Sanskrit / Prakrit,yona (from yavana),Plural Noun,Two Foreigners; beings of another race or species
योने,yone,Prakrit (from Sanskrit),√यु (Yū),Feminine noun (inflected),"Womb, origin, source, species"
यून्,yūn,Sanskrit,—,Adjective / Noun,Young; a youth or younger descendant (while the elder is still living).
युन,yuna,Sanskrit,√yun (यु),Noun (derived),"Band, cord, string; something that joins, binds, or connects"
युनौ,yunau,Sanskrit,yuna,Noun – Dual (Nom./Acc.),Two cords / Two bands / Two strings
यूनयोः,yūnoḥ,Sanskrit,"from yūna (neuter noun, from yūtha)",Dual Genitive,of the two cords; of the two bands or strings
ढ,ḍha,Sanskrit,— (onomatopoetic / nominal base),"Noun (masculine, singular)","Serpent; also a dog, drum, or imitative sound depending on context"
इने,ine,Sanskrit,इन (ina),Locative singular (masculine a-stem),In/on Ina; in the Lord; on the Sun
