timestamp,devanagari,translation,verse_num,romanization
(0:00),बाई जून नौकौ हो यारदा इन्धौकौ हो खिण्ण नकार उन्दुकौ हो," Remember that the stubborn Two Emissaries were the Yarada who tempted the Assembly to worship the two dead ones, the Female–Eunuch–born Emissaries, who were… (:05) Bai yān naukau Yarada ar sur makhin nekki hay the Mother’s Phalanx of paired Emissary–Yarada, who killed the Priest of the Upright Horse… (:09) Bhaṇ tay kay mūkau Yarada undukau ho who invoked the protection of the Assembly’s Two Muted Ones, Yarada—the two vermin Horses… (:13) Bhan tay kay hay śan docco hum Yarada undukau ho and invoked the protection of the Assembly for worship and remembrance of the two-vermin Messenger–Yarada, who are… (:17) Bhinn Yarada oṇ dhau Yarada īśin gihi the seduced Yarada: the removed Two Serpent–Yarada Commander and Householder. (:20) Bai jūn naukau ho Yarada indhaukau ho Yarada indhe kay hay macca hai un naukau ho The Mother’s stubborn Two Emissaries are the Little-Moon Yarada, who are the Yarada who tempted the Assembly to worship the man of the guilty two Emissaries! (:27) Baii un nau Yarada ar sur macca hay O Mother! The guilty Nine Yarada killed the mortal horse. (:30) Bundau Yarada indhaukau ho māyin naka yūnoḥ nau Yarada indhe kay hay The Little Moon Yarada Two Arrows are the deceivers of the Highest Heaven, from the Two Bands of Nine Yarada, who tempted the Assembly to worship. (:35) Ai jun nau huhu śan dvika heman dhūkau ho Remember the Mother’s stubborn Nine Celestial Chorister who graciously received twofold gold from the Two Rogues who are... (:38) the Mother’s stubborn Two Emissaries, who are the Little-Moon Yarada, who are the worn-down, worthless Two Vermin. (:45)",10,Bai jun naukau ho Yarada indhaukau ho khinn nakāra undukau ho
,ऐ जून नौकौ शिङ्घ् गिहि मच्च है ओण् नौका यारदा इन्धौ धो धौकौ हो मच्च हि," Remember the Mother’s stubborn Two Emissaries who sniffed out the Householder Man. O! Remove the Yarada Emissary [who is] of the inciters who blow the Two Winds (Rogues), who are the forsaken man. (:51)",11,Ai jun naukau śiṅgh gihi macca hai oṇ nauka Yarada indhau dho dhaukau ho macca hi
,बन्दी यारदा रौ ओण् धौकौ हो यारदा इन् दीदि दीदि धौ धुनौ कुहौ," The female-slave Yarada’s two desires are to remove the moving ones who are the Yarada Lord’s brightly shining Two Serpents, and to drive away the Two Deceivers. (:58)",12,Bandi Yarada rau oṇ dhaukau ho Yarada In didi didi dhau dhunau kuhau
,भान्तौ यारदा इन्धे हय् मूकौ यारदा इन्धौकौ हो, The two Thunderbolt Yarada conspired to worship the two Dead Ones of the Little-Moon Yarada.,13,Bhāntau Yarada indhe hay mūkau Yarada indhaukau ho
(1:03),बया नव नौकौ हो यारदा इन ननु नुनौ अर् सुर् शेषानाम् मच्च हि," The Elder Mother’s Nine and Two Emissaries are the 13th Lunar Mansion, Hasta-Yarada — are they not the two expelled ones who killed Sesa the Serpent’s human race?",14,Bāyā nau naukau ho Yarada ina nanu nunau ar sur śeṣānām macca hai
(1:07),बुन्दौ यारदा इन्दका ह मूकौ हो मायिन् नह् तुन् नव यारदा इन्धात् धात उन्दुकौ हो," The two Yarada-arrows of the Governing Star of the 5th Lunar Mansion of the Orion Constellation — Meissa — indeed, the two silenced were the deceiver who bound and corrupted the Nine Yarada; and the arrows are from the kindler’s semen, two rats indeed.",15,Bundau Yarada indakā ha mūkau ho māyin nah tun nau Yarada indhāt dhat undukau ho
(1:14),बाई जून नव यारदा अन्धात् तु नव यारदा इन्धे कय हय्," The Mother’s stubborn Nine Yarada, blinded— and yet, the Nine Yarada themselves kindled (tempted) the Assembly to worship.",16,Bai jun nau Yarada andhāt tu nau Yarada indhe kay hay
(1:18),बाई जून नौका यारदा इन्धे कय हय् मूकौ हो, The Mother’s stubborn Emissary-Yarada tempted the Assembly to worship the two Muted (dead) Ones.,17,Bai jun nauka Yarada indhe kay hay mūkau ho
(1:22),बाई युनौ नौकौ हो मइ यारदा इन्धे कय हय् मूकौ हो," The Mother’s stubborn two-band Emissaries are Mother Yarada, who tempted the Assembly to worship the two Silenced ones—so be it.",18,Bai yunau naukau ho mai Yarada indhe kay hay mūkau ho
(1:26),ऐ जून नौकौ हो यारदा ईशिन् गिहि मच्च है ओ नौकौ हो," The stubborn Two Emissaries are the Yarada Commander and Householder Man. Oh, the two Emissaries, so be it.",19,Ai jun naukau ho Yarada īśin gihi macca hai oh naukau ho
(1:31),इयुन नौकौ हो यारदा इन्धौकौ हो, The two Emissaries who left are the Little Moon Yarada.,20,Iyun naukau ho Yarada indhaukau ho
(1:34),बाई जून नौका हो यारदा अर् सुर् सुरसुर श्यामक है जौ नौका हो मच्च है," The Mother’s stubborn two Emissaries are the Yarada who killed the gods & Asura’s children, oh, the two descended from the two Emissaries who are the forsaken man.",21,Bai jun naukau ho Yarada ar sur shurshur syāmaka hai jau naukau ho macca hi
(1:40),बन्दी कय हय् मुह् यारदा उन्दुकौ हो, The female slave Assembly worshipped the foolish Yarada — the two fallen vermin.,22,Bandi kay hay muh Yarada undukau ho
(1:43),है नौकौ माया नव नौकौ हो, O the two Emissary-illusionists and the Nine and Two Emissaries…,23,Hai naukau māyā nau naukau ho
(1:46),शन् धूकौ हो भण् डिकी भण् टोकौ हो," love the Two Rogues, (and they) call to the Gnat, (and they) call to the Two Children.",24,Śan dhūkau ho bhaṇ ḍikī bhan ṭokau ho
(1:50),ऐ जून नौकौ शेन धेडे धुनौ नव जरा देहिन् दीदि दी ढौ नौकौ हो," Remember, the two stubborn two Emissarys’ Hawk Acolytes drove away the Nine old embodied ones—whose shining was brought to decay by the two Serpent Emissaries.",25,Ai jun naukau śēna dhede dhunau nau jarā dehin didi di dhau naukau ho
(1:57),बाई जून नव यारदा इन्धि यून् नव यारदा इन्धौकौ हो, The Mother’s stubborn Nine Yarada call out ‘Ignite (Tempt)!’ to the young Nine Yarada — the Little Moons.,26,Bai jun nau Yarada indhi yūn nau Yarada indhūkau ho
(2:00),भण् धूकौ यारदा इन्धे कय हय् मूकौ हो  यारदा इन्दु दौ येन जेर दह् उन्दुकौ," Proclaim the two rogue Yarada who tempted the Assembly to worship the two Muted Ones are the Soma-Drop Yarada, the two kindlers, the two burners, by whom the inferior Two Rats torment.",27,Bhaṇ dhūkau Yarada indhe kay hay mūkau ho Yarada indu dau yen jera dah undukau
(2:07),भाण्डिकी हि मुखौ हो, The minor servant forsook the two mouths.,28,Bhāṇḍikī hi mukhau ho
(2:09),ऐ जून नौकौ हो अर् सुर् शे सेष्यम् मच्च हय नौकौ हो," Remember, the stubborn two Emissaries are the Yarada who killed I Rest, the Remainder - that mortal, and the Horse-Two Emissaries.",29,Ai jun naukau ho Yarada ar sur śe seṣyaṃ macca hay naukau ho
(2:13),भानु यारदा इन्धे जौ नौकौ हो यारदा इन्धौकौ हो, The radiant Yarada tempted their own two Emissaries — the two Little-Moon Yarada.,30,Bhanu Yarada indhe jau naukau ho Yarada indhaukau ho
(2:18),भण् न्यारा दह् ऊन् दूतौ सेण देह देखि हि मुखौ हो यारदा इन् दूतौ तुन् यारदा इन् दत्त-दत्त टेके हि," [They] call upon the unique, burning, guilty two messengers of the cloud army—the two who saw and forsook the two Mouths, who are the Yarada Lord’s two messengers—to deceive the Yarada Lord’s anointed, handed over into Demon Teka—the Forsaken.",31,Bhaṇ nyārā dah ūn dūtau seṇa deh dekhi hi mukhau ho Yarada In dūtau tun Yarada In datt datt teke hi
(2:26),भुङ् यारदा एण धूकौ यारदा इन्धे हय् मूकौ हो," The ritually invoked Yarada, with the two rogue Yarada, conspired to worship the two Silenced ones (dead ones).",32,Bhuṅ	Yarada eṇ dhūkau Yarada indhe hay mūkau ho
(2:31),भण् यारदा उन्दुकौ हो यारदा इन्धे कय हय्, Proclaim the two Yarada rats are the Yarada who enticed the Assembly to worship.,33,Bhaṇ Yarada uṇḍukau ho Yarada indhe kay hay
(2:34),भण् धूकौ हो यारदा उन्दुकौ हो यारदा इन्धौकौ हो, Proclaim the two Rogues are the two Yarada Rats who are the Little Moon Yarada – so be it.,34,Bhaṇ dhukau ho Yarada undukau ho Yarada indhaukau ho
(2:40),ऐ जून नौकौ हो यारदा अर् सुर् शेषे मच्च हय नव जुरौ धौ उन्द् धो यारदा इन् देखि हि मखौ हो," Remember, the stubborn two Emissaries are the Yarada who killed the human horse within Ananta Sesa, [with] the Nine’s two violent acts, the two Serpents, to moisten and agitate the Yarada Lord, after they had seen the forsaken two sacrifices.",35,Ai jun naukau ho Yarada ar sur śeṣe macca hey nau jurau dhau und dho Yarada In dekhi hi makhau ho
(2:47),भण् जरा धौ उन्द् दौ यारदा इन्धि हि माया रोधौ उन्दुकौ हो यारदा इन्दका ह," Proclaim the old Two Serpents moistened the two giver-Yarada. Burn, forsaken deception! The two hindrances—the Two Rats—are the Yarada Indakā [Meissa (Lambda Orionis), the head star of the Mṛgaśīrṣa Nakṣatra], indeed.",36,Bhaṇ jarā dhau und dau Yarada indhi hi māyā rodhau undukau ho Yarada indakā ha
(2:53),भुङ् यारदा इन्धौकौ हो यारदा इन्धे धेडे धेडे देऊन मुहुकैः यारदा इन्दु हो कोचौ हो माकी हि," The ritually invoked Little-Moon Yarada are the Yarada who tempted the pageboys and flower girls; having given, through brief moments, the Yarada’s Soma, they are the two withering ones and are the abandoned Heaven and Earth.",37,Bhuṅ Yarada indhaukau ho Yarada indhe dhēḍe dhēḍe deūn muhukaiḥ
(3:01),बाई जून नव यारदा इन्धे जौ नौकौ हो, The mother’s stubborn Nine Yarada tempted the two born from the two Emissaries.,38,Bai jun nau Yarada indhe jau naukau ho
(3:05),बाई अयु नौकौ हो यारदा  इन् धोडौ शेन दह् धौ नौकौ हो शन् नह् इन् नेक्की हय्," The Elder Mother’s first human two Emissaries were the Yarada Lord’s two water snakes, two Falcon consuming serpent Emissaries indeed. Receive! Fasten the Lord’s uprightness to testify.",39,Baii ayu naukau ho Yarada In dhoḍau śēna dah dhau naukau ho śana nah In nekki hay
(3:11),बन्दी काय जरा धुन् नव जुरौ धौ धौकौ हो, The old female slave assembly disrupted the Nine and two violent acts [who are] two serpent moving ones.,40,Bandi kay jarā dhun nau jurau dhau dhaukau ho
(3:14),बाई जून नौकौ हो यारदा इन्धौकौ हो बाई जनि यारदा उन्दुकौ हो," The Mother’s stubborn two Emissaries are the Little-Moon Yarada—her agent Yarada, two rats.",41,Bai jūn naukau ho Yarada indhaukau ho bai jani Yarada undhaukau ho
(3:19),ऐ जून नौकौ हो यारदा इन्धौकौ मच्च हि," Remember, the stubborn two Emissaries are the Little-Moon Yarada—the Forsaken mortal.",42,Ai jun naukau ho Yarada indhaukau macca hi
(3:26),ऐ जून यारदा इन्धे हि मूकौ यारदा उन्दुकौ हो यारदा इन् नौकौ हो यारदा इन्धे कय हय् मच्च हि," The mother’s stubborn Yarada awakened the forsaken silenced (muted) Yarada, the two rats who are the Yarada Lord’s two Emissaries who are the Yarada who tempted the assembly to worship the forsaken mortal.",43,Ai jun Yarada indhe hi mūkau Yarada undukau ho Yarada In naukau ho Yarada indhe kay hay macca hi
(3:33),भौ यारदा इन्धौकौ हो यारदा इन्धौकौ हो यारदा इन् देखि हेये मूकौ हो, The two shinning Yarada Little Moons are the two Yarada Little Moons who became the Yarada Lord having seen the two vile silenced (dead) ones.,44,Bhau Yarada indhaukau ho Yarada indhaukau ho Yarada In dekhi hey mūkau ho
(3:39),भण् यारदा उन्दुकौ हो यारदा इन् देखि हि मच्च है इन् देखि हेये, Declare the two Rat Yarada became the Yarada Lord after seeing the forsaken way – O [they became] a Lord after seeing the vile man.,45,Bhaṇ Yarada undukau ho Yarada In dekhi hi macca hai In dekhi hey
(3:45),भुङ् यारदा उन्दुकौ हो मायिन् नेक्की हि मच्च है," The ritually invoked Yarada two Rats are the deceiver of uptightness, oh the forsaken man!",46,Bhuṅ Yarada undukau ho māyin nekki hi macca hai
(3:50),धुन् यारदा इन्धे हय् मूकौ हो यारदा उन्दुकौ हो माया नक्की हि, Resist the Yarada who tempt to worship the Two Silenced ones—the two Rats—who are deception itself!,47,Dhun Yarada indhe hay Mūkau ho Yarada undukau ho māyā nakki hi
(3:55),बाई जून नौकौ हो यारदा इन् देखि मोक है, The Mother’s stubborn two Emissaries became the Yarada Lord (Indra) after seeing the disciple!,48,Bai jun naukau ho Yarada In dekhi moka hai
(4:00),बाई जून नौकौ हो यारदा इन् देखि हेये मच्च है उन्दुकौ ईनि इज्ये रारयोः उन कोचौ हुम् मच्च है," The Mother’s stubborn two Emissaries became the Yarada Lord (Indra) after seeing the vile man! The two rats [now] exist in the domain of the Lord (Agni), upon the revered authority of the paired authority domains stemming from Radha, as the guilty two withered ones -hmm – the mortal!",49,Bai jun Naukau ho Yarada In dekhi heye macca hai undukau ini ijye rārayoḥ un kocau hum macca hai
(4:07),ऐ जून नव यारदा इन्धे हय् माया रदौ उन्दुकौ हो," Remember, the stubborn Nine Yarada ignited (conspired) to speak the deception of the two Rats with two tusks.",50,Ai jun nau Yarada indhe hay māyā radau undukau ho
(4:20),बाई जून नौका जरडे इन्धे हय् मऊ मूकौ जरडे ईशिन् नह् न्यारा नव उन कुहोः हो मच्च है," The Mother’s stubborn Emissary among the defective one desired to worship the two Silenced ones among the Lord, to bind the unique Nine to the guilty two deceivers who are many mortals!",51,Bai jun nauka jaraḍe indhe hay mau mūkau jaraḍe īśin nah nyārā nau un kuhoḥ ho macca hai
(4:19),आयिन् जौ रोधौ इन् णेहे इमौ यारदा इन् नेक ओ नव यारदा इन्धे कय हय्," In compassion, the Lord – the virtuous Lord – drew near to the two descendants of the two obstacles, O, the Nine Yarada tempted the Assembly to worship.",52,"Āyin jau rodhau In ṇehe imau Yarada In nēk, O, Nau Yarada indhe kay hay"
(4:25),बाई जून नव यारदा इन्धे धौ नौकौ यारदा उन्दुकौ है," The Mother’s stubborn Nine Yarada revived the two serpent Emissary Yarada, O, the two rats!",53,Bai jun Nau Yarada indhe dhau naukau Yarada undukau hai
(4:29),बाई जून नव यारदा इन्धेहि मूकौ हो यारदा इन् देखि हेये मूकौ हो," O Mother! The stubborn Nine Yarada awakened the two Muted ones, [the Nine] who became the Yarada Lord (Indra) after seeing the vile two Muted ones.",54,Baii jun Nau Yarada indhehi mūkau ho Yarada In dekhi hey mūkau ho
(4:35),बाई जून नव कय यारदा अन्दु यारदा अर् सुर् शेषे मच्च है," O, the Mother’s stubborn Nine Assembly Yarada, foot chain bound Yarada, killed Ananta Sesa’s mortal!",55,Bai jun Nau Kay Yarada andu Yarada ar sur śeṣe macca hai
(4:39),अये नौकौ हो यारदा इन्धे कय हय्, I proceeded towards the two Emissaries who are the Yarada [who] ignited the Assembly to worship.,56,Aye naukau ho Yarada indhe kay hay
(4:42),भण् धूकौ हो यारदा इन् धूकौ यारदा इन् ददत् उन्दुकौ हो," Proclaim the two Rogues are the Yarada Lord’s two winds, the [same] Yarada Lord who gives the two Rats.",57,Bhaṇ dhūkau ho Yarada In dhūkau Yarada In dadat undukau ho
(4:47),भण् ति  कय हय् मूकौ हो यारदा उन्दुकौ हो माकी यारदा उन्दुकौ यारदा इन् देखि हेये," Proclaim: to become moist the assembly worshiped the two silenced ones who are the Yarada, the two Rats who became the Yarada, the Two Rats of Heaven and Earth [who became] the Yarada Lord after seeing the vile [ones].",58,Bhaṇ ti kay hay mūkau ho Yarada undukau ho mākī Yarada undukau Yarada In dekhi hey
(4:54),भण् धौकौ हो यारदा इन् देखि हेये जन नुनौ नव यारदा इन् नेने नय् नुनौ नव कायता खञ्जेन नादर तोकौ हो," Proclaim: The two Rogues became the Yarada Lord (Indra) after seeing the vile nation, the two expelled of the Nine Yarada Lord facilitated the protection of the two expelled of the Nine scribes/clerks by the lame one’s two children.",59,Bhan dhūkau ho Yarada In dekhi hey jana nunau nau Yarada In nene nay nunau nau kayat khanjen nadara tokau ho
(5:03),ऐ जून नव यारदा इन्धे यम् नव यारदा देह उन्दुकौ हो मच्च है इन् नेक्की हे," Remember: The stubborn Nine Yarada began to control the Nine Yarada cloud like a horse, the Two Rats were mortal, O, Lord of virtue!",60,Ai jūnā nau Yarada indhe yam Nau Yarada dey undukau ho macca hai In nekki he
