timestamp,devanagari,translation,verse_num,romanization
(5:10),अयु हुन् नौकौ जरा देह इन् शिङ्गे हेये मोकौ हो शरदा उन्दुकौ हो, The 1st mankind performed ritual offerings – the Two Emissaries and the Old Cloud Lord – in the tree to worship the vile two cast off skins who are the newer two vermin.,61,Ayu hun naukau jarā dey In śiṅge hey mokau ho śārada undukau ho
(5:16),बिन जेर दातौ जेर दह् इन्धे हेये मुखौ हो यारदा उन्दुकौ हो," The son of [those] overcome by the two that are divided, overcome by temptation to worship the vile two muted ones, the two Rat Yarada.",62,Bin jera dātau jera dah indhe hey mukau ho Yarada undukau ho
(5:21),वेंटे कय नव नौकौ हो कयर दह् इन्धे कय हय् मच्छेण जेर लोकान् श्येनेन तुन् नौकौ हो," The coiled assembly – regarding the Nine and the two Emissaries – became miserable after being tempted to worship, the worlds overcame them by means of the Fish, and by means of the Hawk the two Emissaries were deceived.",63,Vēṇṭe kay nau naukau ho kayara dah indhe kay hay macchen jera lokan śyenenā tun naukau ho
(5:28),अयु सुर शेषे शेम मच्च है जौ नौकौ हो," The 1st Mankind killed Ananta Sesa the Hundred’s mankind, the two descended from the two Emissaries!",64,Ayu sur śeṣ śem macca hai jau naukau ho
(5:32),ऐ जून नौकौ हिड्ड धौ उन नौकौ हो माई जरडे इन् देखि हेये," Remember, the stubborn two Emissaries, the two Serpents of Hidda (a place near Jalalabad Afghanistan), those guilty two Emissaries are the Mother among the defective ones – [who became] the Lord (Indra) after seeing the vile [one].",65,Ai jun naukau Hiḍḍa dhau un naukau ho māī jaraḍe In dekhi hey
(5:36),भण् तोकौ हो इन् यारदा हेये मूकौ हो यारदा उन्दुकौ, Proclaim the two children became the Yarada Lord after seeing the contemptible two Silenced ones who are the two Yarada Rats.,66,Bhaṇ tokau ho Yarada In dekhi hey mūkau ho Yarada undukau
(5:42),बिन यारदा तोकौ कोचौ यारदा इन्धे हय् मूकौ हो यारदा उन्दुकौ," The son of the Yarada, the two children, two withering Yarada, ignited to worship the two silenced ones who are the two Yarada Rats.",67,Bin Yarada tokau kocau Yarada indhe hay mūkau ho Yarada undukau ho
(5:47),बाई यून् ओयर ओण् ऊन् जुरौ धौ इन्धे हय् मच्च हेये मूकौ हो माया रदः इन्धे हेये मूकौ हो मच्च है," The Mother’s young avatar removed the guilty tow violent acts, the two Serpents that tempted to worship the way of the vile two Silenced ones [who] are the deceptive tusk [who] ignited the vile two Silenced ones who are that man!",68,Bai yūn oyar oṇ ūn jurau dhau indhe hay macca hey mūkau ho maya radaḥ indhe hey mūkau ho macca hai
(5:55),ऐ जून नौकौ हो यारदा इन् देखि हेये मूकौ हो, Remember the stubborn two Emissaries became the Yarada Lord after seeing the vile two Silenced ones.,69,Ai jun naukau ho Yarada In dheki hey mukau ho.
(5:59),बाई जून नव नव  यारदा इन्धे हय् मोहौ यारदा उन्दुकौ हो," The Mother’s stubborn Nine, the Nine Yarada, tempted to worship the two Hallucinations, the two Yarada Rats.",70,Bai jun nau nau Yarada indhe hay mohau Yarada undukau ho
(6:03),बाई जन् जरा लोकौ हो मच्च है इन्धे यारदा उन्दुकौ हो," The Mother’s offspring, the two decaying worlds, are the mortal that tempted the Yarada [to worship] the two Leprosies.",71,Bai jan jarā lokau ho macca hai indhe Yarada undukau ho
(6:08),भेंडी ज उन्दुकौ यारदा ईशिन् घि हेय," A Bhendi tree born from two leprosies, the Yarada Commander [and] the vile Summer.",72,Bhēṇḍī ja undukau Yarada īśin ghi hēy
(6:12),बाई जून नव यारदा उन्दुकौ हो माया रयीन् नेक्की हय, The Mother’s stubborn Nine Yarada and Two Rats are the illusory treasures of the upright Horse.,73,Bai jun nau Yarada undukau ho māyā rayin nekki hay
(6:16),बुंत अयर धा उन्दुकौ हो यारदा इन्धे हय् मोहौ यारदा इन्धे हय् केकय मूकौ हो," A disguise [as of] the Ageless [ones] worn by the two Rats who are the Yarada who tempted to worship the two Delusions which prevent the discernment of truth, the [same] Yarada that tempted the Kekaya Tribe to worship the two Silenced ones.",74,Bunt ayara dhā undukau ho Yarada indhe hay mohua Yarada indhe hay Kekaya mūkau ho
(6:29),ऐ जून टोकौ हो माईक हय मच्च है मुण् यारदा इन्धे कय हय्," O, remember the stubborn two children are the fraudulent Horse man, [which] pledged themselves to the Yarada [who] tempted the assembly to worship.",76,Ai jun ṭokau ho maika hay macca hai muṇ Yarada indhe kay hay
(6:34),भुङ् टोकौ हो यारदा इन्धे हय् मूकौ हो यारदा इन्धे हय् मूकौ हो यारदा इन् दूतौ कोण नौकौ यारदा इन् तय् हय," The two children are the Yarada who tempted [the assembly] to worship the two Silenced ones are the Yarada who were tempted to worship the two Silenced ones, [they] are the Yarada Lord’s Two Messengers. Which Emissary? The Yarada Lord’s protecting Horse.",77,Bhuṅ ṭokau ho Yarada indhe hay mūkau ho Yarada indhe hay mūkau ho Yarada In dūtau koṇ nauka Yarada In tay hay.
(6:43),ऐ जून यारदा इन्धे कय हय् मूकौ हो यारदा इन्धे कय हि," Remember, the stubborn Yarada tempted the Assembly to worship the two Silenced ones, these same Yarada tempted the assembly, indeed.",78,Ai jūn Yarada indhe kay hay mūkau ho Yarada indhe kay hi
(6:48),भुङ् यारदा इन् धोडौ यारदा ऊन् नौकौ हो मच्च है," The Yarada Lord’s two Water Snakes, the Yarada Lord’s wedding ceremony children, and the guilty two Emissaries are mortal (subject to death)!",79,Bhuṅ Yarada In dhoḍau Yarada ūn naukau ho macca hai
(6:54),ऐ जून यारदा इन्धे हय् मूकौ हो यारदा उन्दुकौ यरादी इन्धे हि," Remember, the stubborn Yarada [who] tempted to worship the two Silenced ones are those Yarada, the two Leprosies, the Hereditary Office that tempted, indeed.",80,Ai jūn Yarada indhe hay mūkau ho Yarada undukau yāradī indhe hi
(7:00),भुङ् यारदा उन्दुकौ हो यारदा इन्धे कय हय्," The Yarada, the two Leprosies, are the Yarada who tempted the assembly to worship.",81,Bhuṅ Yarada undukau ho Yarada indhe kay hay
(7:04),भान्ते कय हय् मूकौ यारदा इन्धे हय् मूकौ यारदा इन् धोडौ टोटौ यारदा किञ्चित् जौ मूकौ हो," The Moon Assembly (Lunar Mansions) worshipped the two Silenced ones. The Yarada [who] kindled the worshiping of the two Silenced ones [were] the Yarada Lord’s two water snakes, the two Yarada children somewhat born from the two Silenced ones.",82,Bhānte kay hay mūkau Yarada indhe hay mūkau Yarada In dhoḍau ṭoṭau Yarada kiñcit jau mūkau ho
(7:13),ऐ जून यारदा अन्दु यारदा इषय शेषे मूकौ हो यारदा इन्धे कय हय्," Remember the stubborn Yarada, elephant foot chain bound Yarada was eager within Sesa’s two Silenced ones, [the same Yarada] are the Yarada who tempted the assembly to worship.",83,Ai jun Yarada andu Yarada iṣay śeṣe mūkau ho Yarada indhe kay hay
(7:18),बाई जुना नव यारदा इन्धौकौ यारदा इन्धे कय हय् मूकौ हो," The Mother’s stubborn Nine Yarada and the two Little Moon Yarada tempted the Assembly to worship the two dead ones, indeed.",84,Bai jun nau Yarada indhaukau Yarada indhe kay hay mūkau ho
(7:24),ऐ ओण् यारदा उर् शूर् शे सेष्यम् मच्च है ज जरडा उन्दुकौ यारदा इन्धे कय हय् मारद इन्धे कय हय्," Remember the removal of the Yarada who proceeded to kill, [who is named] I Rest [or] the Remainder, the mortal! Born from the decay of the two Rat Yarada who tempted the Assembly to worship death giving – who tempted the Assembly to worship.",84,Ai oṇ Yarada ur śūr śe seṣyaṃ macca hai ja jarada undukau Yarada indhe kay hay mārada indhe kay hay
(7:32),भुङ् यारदा ध्यान नौका यारदा इन् भूकौ हो मच्च हय, The Yarada remembered that the two Emissaries and the Yarada Lord’s two Darknesses are the mortal horse.,86,Bhuṅ Yarada dhyān naukau Yarada In bhūkau ho macca hay
(7:37),बन्धौ कुहौ यारदा अर् सुर् शे शेष्यम् मच्च है जौ नौकौ न्यारा दह् इन्धे कय हय्," The two pledged deceivers, Yarada, praised the killings of I Rest The Remainder’s mortal; these two who descended from the two Emissaries – separately incited and tempted the Assembly to worship.",87,Bandhau kuhau Yarada ar sur śe sesyam macca hai jau naukau nyārā dah indhe kay hay
(7:43),भुङ् यारदा उन्दुकौ हो ऐ जून नव यारदा इन्धे हय् मूकौ हो यारदा इन् देखि मूकौ हो," The Yarada two Rats are, remember too the stubborn Nine Yarada, [those who] tempted to worship the two Silenced ones and became the Yarada Lord after seeing the two Silenced ones.",88,Bhuṅ Yarada undukau ho ai jun nau Yarada indhe hay mūkau ho Yarada In dekhi mūkau ho
(7:51),भान्ते कय हय् मूकौ यारदा ईशिन् गिहि," In the Moon Assembly (Nakshatra) [they] worshipped the two Silenced ones:
         1) The Yarada Commander 2) Householder (Matriarch)",89,Bhānte kay hay mūkau Yarada isin gihi
(7:55),भुङ् यारदा इन् देखि हेये मूकौ हो यारदा उन्दुकौ हो," The Yarada Lord, after seeing the vile two Silenced ones, became the Two Yarada lepers.",90,Bhuṅ Yarada In dekhi hey mūkau ho Yarada undukau ho
(7:59),भान्ते कय हय् मूकौ यारदा ईशिन् गिहि मूकौ यारदा इन् देखि हेये मूकौ," In the Moon Assembly [they] worshiped the two Silenced ones, the Yarada Commander and Householder (Matriarch), the two Silenced ones, [because of] the Yarada Lord having seen the vile two Silenced ones.",91,Bhānte kay hay mūkau Yarada isin higi mūkau yarada In dekhi hey mūkau
(8:05),भण् यारदा उन्दुकौ हो यारदा इन्धे हय् मूकौ हो यारदा इन् देखि हेये मूकौ हो, Declare the Yarada two Rats are the Yarada who tempted to worship the two Silenced ones and became the Yarada Lord after seeing the vile two Silenced ones.,92,Bhaṇ Yarada undukau ho Yarada indhe hay mūkau ho Yarada In dekhi hey mūkau ho
(8:12),भान्ते कय हय् मुह् यारदा उर् शूर् शेष्यम् मच्च है, In the Moon Assembly the confused Yarada worshiped the murdering of the Remainder’s Mortals.,93,Bhānte kay hay muh Yarada ur śūr śeṣyam macca hai
(8:16),ऐ जून नौकौ हो यारदा इन् देखि हेये मूकौ हो यारदा उन्दुकौ हो, Remember the stubborn two Emissaries became the Yarada Lord after seeing the vile two Silenced ones and became the two Leprosy Yarada.,94,Ai jun naukau ho Yarada In dekhi hey mūkau ho Yarada undukau ho
(8:21),भान्ते कय हय् माया रोधौ ऊन् कोचौ चौ सेण गिहि," In the Moon Assembly [they] worshipped the deceit, the two obstacles, the two guilty withering morally corrupt falcon Matriarch.",95,Bhante kay hay māyā rodhau ūn kocau cau sen gihi
(8:25),महान 	ओण् जनधा इन्धे ओण् नव यारदा अङ्घो कोचौ यारदा इन् गिहि," The epic removal of the Provider ignited the removal of the Nine Yarada, ugh! The two withering [ones], the Yarada Lord and Matriarch.",96,Mahān oṇ janadhā indhe oṇ nau Yarada aṅgho kocau Yarada In gihi
(8:30),भण् तोकौ हो यारदा इषय शेषे मूकौ हो यारदा इन्धे कय हय्, Proclaim the two children are Yarada active within Ananta Sesa’s two Silenced ones [the children are] the Yarada who tempted the assembly to worship.,97,Bhaṇ tokau ho Yarada iṣay śeṣe mūkau ho Yarada indhe kay hay
(8:35),भुङ् यारदा उन्दुकौ हो यारदा इन्धे कय हय्, The Yarada two Rats are the Yarada who tempted the assembly to worship.,98,Bhuṅ Yarada undukau ho Yarada indhe kay hay
(8:40),भुङ् यारदा अर् सुर् शे शेष्यम् मच्च है जे ये णूणो यारदा इने नेने नेणणे नौकौ हो," The Yarada murdered I Rest, the remainder’s human. Oh—those who are the wicked ones: the Yarada in the Sun, who lead in ignorance—the two Emissaries indeed.",99,Bhuṅ Yarada ar sur śe śeṣyam macca hai jē ye nuno Yarada ine nene nēṇaṇē naukau ho
(8:45),ऐ जून नौकौ हो यारदा इन्धे कय हय्, Remember the two Emissaries are the Yarada who tempted the assembly to worship.,100,Ai jun naukau ho Yarada indhe kay hay
(8:49),भान्ते कय हय् मूकौ यारदा इन्धे हय् नुनौ उन कोचौ माया रदः इन् देखि हय," In the Moon Assembly [they] worshiped the two Silenced ones, Yarada temted to worship the two expelled, the two guilty withering fraudulent tusk Lord, having seen  the horse",101,Bhānte kay hay mūkau Yarada indhe hay nunau un kocau māyā radaḥ In dekhi hay
(8:57),ऐ जून नव यारदा अर् सुर् शे शेष्यम् मच्च है ज नुनौ जरडी इन् देखि हय मूकौ हो," Remember the Nine Yarada killed I Rest the Remainder’s (He Who Remains) mortals! Born from the two expelled feeble Lord, after seeing the two Horse Silenced ones.",102,Ai jun nau Yarada ar sur śe śeṣyam macca hai ja nunau jaradi In dekhi hay mūkau ho
(9:07),बाणी यारदा उन नौकौ हो यारदा इन् नेक्की हय, The utterance Yarada and guilty two Emissaries were the Yarada Lord & upright Horse.,104,Bāṇī Yarada un naukau ho Yarada In nekki hay
(9:11),भुङ् धूकौ हो बाई यारदा उन्दुकौ, The two winds (rogues) are the Mother Yarada’s two Rats.,105,Bhuṅ dhūkau ho bai Yarada undukau
(9:15),बाई जन् ओ यारदा इन् आयिन् उन यारदा अनुकैः अये उन ओका यारदा देह इन्धे हय् मूकौ हो, The Mother birthed you Yarada! The Lord approaches the guilty Yarada through the greedy ones. I am coming guilty naked Yarada cloud who tempted [the Moon Assembly] to worship the two Silenced ones.,106,Bai jan O Yarada In āyin un Yarada anukaiḥ aye un ōk Yarada deh indhe hay mūkau ho
(9:21),आय उन जेर इ शेषे शेषे शेषे मोहौ इ शेषे शेषे शेषे," The 11th House, guilty, reduced by disease, entirely in the Domain of Sesa, two mental delusions, entirely in the Domain of Sesa.",107,Āya un jera I śeṣe śeṣe śeṣe mohau I śeṣe śeṣe śeṣe
(9:28),बाई याराः ओरा उर् शूर् शे शेष्यम् मच्च है, The Mother’s friend proceeded like rushing water to kill Sesa’s mankind…,108,Bai Yārāḥ or ur śūr śe śeṣyam macca hai
(9:32),शन् ईळांना यारदा ईशिन् गिहि, To honor the Commander & Matriarch during the times of the Yarada.,109,Śan īḷānn Yarada isin gihi
(9:36),बुन्द यारदा उन्दुकौ हो बक है जन् जरतोः," The lower Yarada two Rats are rogue! Born of the two aged ones, the guilty immature Yarada [who] tempted the assembly to worship.",110,Bund Yarada undukau ho baka hai jan jaratoḥ
(9:41),बुङ्ग् यारदा उन्दुकौ यारदा इन्धे हेय मूकौ हो यारदा इन् देखि हय मूकौ हो," Forsake the Yarada, the two Leprosy Yarada, [who] ignited the rejected two Mutes who became the Yarada Lord after seeing the two muted Horse.",111,Buṅg Yarada undukau Yarada indhe hey mūkau ho Yarada In dekhi hay mūkau ho
(9:49),भानून् यारदा इने बुङ्ग् ओ यारदा इन्द् ओकौ हो यारदा ईशिन् गिहि मूकौ हो," The Solar Authorities – Yarada within the sun, forsook, oh, the Yarada’s two powerful Houses are [that of] the Yarada Commander and Matriarch, the two silenced ones.",112,Bhānūn Yarada ine buṅg O Yarada ind okau ho Yarada isin gihi mūkau ho
(9:59),ऐ जून नव यारदा इन्धे हय् मौ यारदा इन्धे हय् मूकौ यारदा इन्धौकौ हो," Remember the stubborn Nine Yarada tempted to worship the two Moon Yarada, tempted to worship the two silent Yarada – the little Moons.",113,Ai jūn nau Yarada indhe hay mau Yarada indhe hay mūkau Yarada indhaukau ho
(10:02),बाई जुना ओ यारदा इषय शे शेष्यम् मोकौ हो यारदा इन्धे कय हय्," The Mother’s stubborn, oh, the eager Yarada, He Who Remain’s two cast off skins are the Yarada who tempted the Assembly to worship.",114,Bai jūn O Yarada iṣay śe śeṣyam mokau ho Yarada indhe kay hay
(10:08),ऐ जून यारदा इषय शेषे शे मोकौ हो यारदा इन्धे हय् मूकौ यारदा इन्धे कय हय्," Remember the stubborn eager Yarada, Anata Sesa’s two cast off skins are the Yarada who tempted to worship the two Muted ones, the Yarada who tempted the assembly to worship.",115,Ai jūn Yarada iṣay śeṣe śe mokau ho Yarada indhe hay mūkau Yarada indhe kay hay
(10:15),बाईने ओण् ए यारदा इषय शेषे मोकौ हो यारदा इन्धौ यारदा अर् सुर् शेषे शेष्यम् मच्च है," Alas! The eager Yarada the two skins who were removed from upon the Head of Sesa by the Mother are the two Yarada tempters, the Yarada who murdered Anata Sesa’s mankind!",116,Bāīne oṇ E Yarada iṣay śeṣe mokau ho Yarada indhau Yarada ar sur śeṣe śeṣyam macca hai
(10:22),ऐ जून ओयर ढ उन ओयर ढ इने रुङ् यारदा इन् उन अङ्गून् गंगा इङ्गनैः ज्ञानिन् यारदा उन नौकौ हो," Remember the stubborn guilty Avatar Serpent within the sun, the Avatar Serpent injured the Yarada Lord, the guilty birds and sacred river by shaking (dislodging) the Mercury Yarada and the guilty Emissaries.",117,Ai jūn oyara ḍha un oyara ḍha ine ruṅ Yarada In un aṅgūn gaṅg iṅganaiḥ jñānin Yarada un naukau ho
